Site ID,Date Collected,Pellet Length,Pellet Dry Mass (g),Pellet ID,Taxon,Abbreviated Taxon,Number of Individuals,Vert or Invert
H31,12/10/20,1.9,0.441,UCSB-IZC00041840,Orthoptera,Orthoptera,NA,Invertebrate
AB3N,7/4/21,2.4,1.264,UCSB-IZC00043586,Orthoptera,Orthoptera,NA,Invertebrate
AB3N,7/4/21,3.6,1.806,UCSB-IZC00043593,Orthoptera,Orthoptera,NA,Invertebrate
AB3N,7/1/21,1.7,0.326,UCSB-IZC00044826,Orthoptera,Orthoptera,NA,Invertebrate
AB3N,1/20/21,2.8,0.786,UCSB-IZC00044827,Orthoptera,Orthoptera,NA,Invertebrate
AB3N,12/4/20,3.7,1.655,UCSB-IZC00044853,Orthoptera,Orthoptera,NA,Invertebrate
AB2S,10/12/20,1.4,0.226,UCSB-IZC00044854,Orthoptera,Orthoptera,NA,Invertebrate
AB3N,12/4/20,1.6,0.615,UCSB-IZC00044859,Orthoptera,Orthoptera,NA,Invertebrate
AB2S,10/12/20,2.1,0.623,UCSB-IZC00044860,Orthoptera,Orthoptera,NA,Invertebrate
AB2S,10/12/20,3,1.187,UCSB-IZC00044866,Orthoptera,Orthoptera,NA,Invertebrate
Pyramid Rock,12/21/20,2.5,0.753,UCSB-IZC00045486,Orthoptera,Orthoptera,NA,Invertebrate
AB2S,4/16/21,2.7,0.984,UCSB-IZC00045491,Orthoptera,Orthoptera,NA,Invertebrate
AB3S,4/16/21,1.6,0.497,UCSB-IZC00045499,Orthoptera,Orthoptera,NA,Invertebrate
Pyramid Rock,12/12/20,2.2,1.062,UCSB-IZC00045511,Orthoptera,Orthoptera,NA,Invertebrate
Pyramid Rock,12/21/20,2,0.433,UCSB-IZC00045535,Orthoptera,Orthoptera,NA,Invertebrate
AB3S,4/16/21,1.8,0.547,UCSB-IZC00045907,Orthoptera,Orthoptera,NA,Invertebrate
AB3S,4/16/21,1.8,0.291,UCSB-IZC00045913,Orthoptera,Orthoptera,NA,Invertebrate
AB3S,4/16/21,1.6,0.441,UCSB-IZC00045947,Orthoptera,Orthoptera,NA,Invertebrate
AB3S,4/16/21,2.3,0.616,UCSB-IZC00045948,Orthoptera,Orthoptera,NA,Invertebrate
Pyramid Rock,12/21/20,2.9,0.917,UCSB-IZC00045957,Orthoptera,Orthoptera,NA,Invertebrate
H31,2/10/20,1.9,0.51,UCSB-IZC00046046,Orthoptera,Orthoptera,NA,Invertebrate
AB3,4/16/21,2.2,0.344,UCSB-IZC00046051,Orthoptera,Orthoptera,NA,Invertebrate
AB3S,4/16/21,2,0.738,UCSB-IZC00046321,Orthoptera,Orthoptera,NA,Invertebrate
AB3,4/16/21,3.1,0.833,UCSB-IZC00046340,Orthoptera,Orthoptera,NA,Invertebrate
AB2,4/16/21,1.9,0.906,UCSB-IZC00046345,Orthoptera,Orthoptera,NA,Invertebrate
AB2S,2/12/20,NA,NA,UCSB-IZC00046358,Orthoptera,Orthoptera,NA,Invertebrate
H31,10/12/20,3.5,1.801,UCSB-IZC00046363,Orthoptera,Orthoptera,NA,Invertebrate
Pyramid Rock,12/21/20,NA,0.312,UCSB-IZC00046381,Orthoptera,Orthoptera,NA,Invertebrate
AB3S,4/16/21,2.8,0.97,UCSB-IZC00046453,Orthoptera,Orthoptera,NA,Invertebrate
AB3S,4/16/21,2.9,0.507,UCSB-IZC00046468,Orthoptera,Orthoptera,NA,Invertebrate
H31,12/21/20,3.2,0.754,UCSB-IZC00046741,Orthoptera,Orthoptera,NA,Invertebrate
H32,12/22/20,2.7,1.204,UCSB-IZC00046796,Orthoptera,Orthoptera,NA,Invertebrate
Pyramid Rock,12/22/20,3.3,0.902,UCSB-IZC00046831,Orthoptera,Orthoptera,NA,Invertebrate
H31,12/10/20,1.9,0.441,UCSB-IZC00041840,"Armadillidium sp. Brandt, 1831",Armadillidium,1,Invertebrate
AB3N,7/4/21,2.4,1.264,UCSB-IZC00043586,"Armadillidium sp. Brandt, 1831",Armadillidium,35,Invertebrate
AB3N,7/4/21,3.6,1.806,UCSB-IZC00043593,"Armadillidium sp. Brandt, 1831",Armadillidium,0,Invertebrate
AB3N,7/1/21,1.7,0.326,UCSB-IZC00044826,"Armadillidium sp. Brandt, 1831",Armadillidium,0,Invertebrate
AB3N,1/20/21,2.8,0.786,UCSB-IZC00044827,"Armadillidium sp. Brandt, 1831",Armadillidium,0,Invertebrate
AB3N,12/4/20,3.7,1.655,UCSB-IZC00044853,"Armadillidium sp. Brandt, 1831",Armadillidium,0,Invertebrate
AB2S,10/12/20,1.4,0.226,UCSB-IZC00044854,"Armadillidium sp. Brandt, 1831",Armadillidium,0,Invertebrate
AB3N,12/4/20,1.6,0.615,UCSB-IZC00044859,"Armadillidium sp. Brandt, 1831",Armadillidium,0,Invertebrate
AB2S,10/12/20,2.1,0.623,UCSB-IZC00044860,"Armadillidium sp. Brandt, 1831",Armadillidium,0,Invertebrate
AB2S,10/12/20,3,1.187,UCSB-IZC00044866,"Armadillidium sp. Brandt, 1831",Armadillidium,0,Invertebrate
Pyramid Rock,12/21/20,2.5,0.753,UCSB-IZC00045486,"Armadillidium sp. Brandt, 1831",Armadillidium,0,Invertebrate
AB2S,4/16/21,2.7,0.984,UCSB-IZC00045491,"Armadillidium sp. Brandt, 1831",Armadillidium,0,Invertebrate
AB3S,4/16/21,1.6,0.497,UCSB-IZC00045499,"Armadillidium sp. Brandt, 1831",Armadillidium,15,Invertebrate
Pyramid Rock,12/12/20,2.2,1.062,UCSB-IZC00045511,"Armadillidium sp. Brandt, 1831",Armadillidium,0,Invertebrate
Pyramid Rock,12/21/20,2,0.433,UCSB-IZC00045535,"Armadillidium sp. Brandt, 1831",Armadillidium,0,Invertebrate
AB3S,4/16/21,1.8,0.547,UCSB-IZC00045907,"Armadillidium sp. Brandt, 1831",Armadillidium,60,Invertebrate
AB3S,4/16/21,1.8,0.291,UCSB-IZC00045913,"Armadillidium sp. Brandt, 1831",Armadillidium,0,Invertebrate
AB3S,4/16/21,1.6,0.441,UCSB-IZC00045947,"Armadillidium sp. Brandt, 1831",Armadillidium,39,Invertebrate
AB3S,4/16/21,2.3,0.616,UCSB-IZC00045948,"Armadillidium sp. Brandt, 1831",Armadillidium,2,Invertebrate
Pyramid Rock,12/21/20,2.9,0.917,UCSB-IZC00045957,"Armadillidium sp. Brandt, 1831",Armadillidium,0,Invertebrate
H31,2/10/20,1.9,0.51,UCSB-IZC00046046,"Armadillidium sp. Brandt, 1831",Armadillidium,1,Invertebrate
AB3,4/16/21,2.2,0.344,UCSB-IZC00046051,"Armadillidium sp. Brandt, 1831",Armadillidium,0,Invertebrate
AB3S,4/16/21,2,0.738,UCSB-IZC00046321,"Armadillidium sp. Brandt, 1831",Armadillidium,90,Invertebrate
AB3,4/16/21,3.1,0.833,UCSB-IZC00046340,"Armadillidium sp. Brandt, 1831",Armadillidium,69,Invertebrate
AB2,4/16/21,1.9,0.906,UCSB-IZC00046345,"Armadillidium sp. Brandt, 1831",Armadillidium,0,Invertebrate
AB2S,2/12/20,NA,NA,UCSB-IZC00046358,"Armadillidium sp. Brandt, 1831",Armadillidium,0,Invertebrate
H31,10/12/20,3.5,1.801,UCSB-IZC00046363,"Armadillidium sp. Brandt, 1831",Armadillidium,0,Invertebrate
Pyramid Rock,12/21/20,NA,0.312,UCSB-IZC00046381,"Armadillidium sp. Brandt, 1831",Armadillidium,0,Invertebrate
AB3S,4/16/21,2.8,0.97,UCSB-IZC00046453,"Armadillidium sp. Brandt, 1831",Armadillidium,4,Invertebrate
AB3S,4/16/21,2.9,0.507,UCSB-IZC00046468,"Armadillidium sp. Brandt, 1831",Armadillidium,15,Invertebrate
H31,12/21/20,3.2,0.754,UCSB-IZC00046741,"Armadillidium sp. Brandt, 1831",Armadillidium,0,Invertebrate
H32,12/22/20,2.7,1.204,UCSB-IZC00046796,"Armadillidium sp. Brandt, 1831",Armadillidium,0,Invertebrate
Pyramid Rock,12/22/20,3.3,0.902,UCSB-IZC00046831,"Armadillidium sp. Brandt, 1831",Armadillidium,0,Invertebrate
H31,12/10/20,1.9,0.441,UCSB-IZC00041840,Coleoptera,Coleoptera,4,Invertebrate
AB3N,7/4/21,2.4,1.264,UCSB-IZC00043586,Coleoptera,Coleoptera,7,Invertebrate
AB3N,7/4/21,3.6,1.806,UCSB-IZC00043593,Coleoptera,Coleoptera,0,Invertebrate
AB3N,7/1/21,1.7,0.326,UCSB-IZC00044826,Coleoptera,Coleoptera,12,Invertebrate
