Burrow_Presence,Date_and_Time,Burrow_Suitability,GlobalID,CreationDate,Creator,EditDate,Editor,Notes,OwlSighting,NEAR_FID,NEAR_DIST,NEAR_FC,NEAR_X,NEAR_Y,X,Y,GridID,x,y
Yes,2025-03-19T19:58:50Z,1,{C9BFDAFF-E5F4-4C7B-8FBA-09F2D94F79C5},2025-03-07T00:20:25Z,CCBER-Admin,2025-09-26T20:18:20Z,CCBER-Admin,Owl flushed. Poop pellets ,1,39,492.8286450552699,Raptor_Perches,-120.45138214205888,34.4474899806645,-120.45496273,34.44462172,677,-120.4549627267117,34.44462172054258
Yes,2025-03-19T16:56:10Z,2,{17417ADF-B373-4C78-B74D-B7ACFB1C3471},2025-03-07T00:20:25Z,CCBER-Admin,2025-09-26T20:18:23Z,CCBER-Admin,No sign now but where we collected pellets and saw one last trip,NA,-1,-1,NA,-1,-1,-120.45699609,34.44574587,1285,-120.45699609159625,34.44574587272832
Yes,2025-03-19T18:51:55Z,1,{7098D44E-CA92-4DB9-9A8D-EEE69C3E3D49},2025-03-07T00:20:25Z,CCBER-Admin,2025-09-26T20:18:24Z,CCBER-Admin,Owl flushed/ pellets collected ,1,39,446.647890041652,Raptor_Perches,-120.45138214205888,34.4474899806645,-120.45546815,34.44589426,1375,-120.45546814809553,34.44589426515481
Yes,2025-03-19T18:46:01Z,1,{9BDA3E51-6C77-4493-A964-BBA0847E23AF},2025-03-07T00:20:25Z,CCBER-Admin,2025-09-26T20:18:26Z,CCBER-Admin,"Several pellets way down in the burrow, droppings outside",NA,39,490.738073770575,Raptor_Perches,-120.45138214205888,34.4474899806645,-120.45610936,34.44626838,1588,-120.4561093652553,34.44626838000488
Yes,2025-03-19T18:29:49Z,1,{8F5ECEF5-D165-46A4-9CBB-35FB4FE8D776},2025-03-07T00:20:25Z,CCBER-Admin,2025-09-26T20:18:27Z,CCBER-Admin,"Owl seen and flushed across road, 2.5 pellets a few droppings ",1,39,515.9392518249567,Raptor_Perches,-120.45138214205888,34.4474899806645,-120.45643042,34.44645544,1697,-120.4564304221727,34.4464554403307
Yes,2025-03-19T21:25:27Z,1,{D02F39B4-66ED-4B51-809D-A34DC0260476},2025-03-07T00:20:25Z,CCBER-Admin,2025-09-26T20:18:28Z,CCBER-Admin,We collected pellets here earlier first trip ,NA,37,630.6407760292801,Raptor_Perches,-120.45155232878777,34.44828625031528,-120.45781448,34.44747572,2396,-120.45781447622122,34.44747572034568
Yes,2025-04-02T20:41:33Z,1,{D6618A1C-2AD7-4A90-BB38-E0032D2A688C},2025-03-07T00:20:25Z,CCBER-Admin,2025-09-26T20:18:30Z,CCBER-Admin,Few burrows here extremely thick veldt,NA,41,168.60925830256085,Raptor_Perches,-120.45151216241649,34.4481654831609,-120.44983659,34.44857154,3622,-120.44983658595646,34.44857154450715
Yes,2025-03-26T18:10:59Z,1,{F42071DC-3D21-4B26-A45E-57D88BABE66B},2025-03-07T00:20:25Z,CCBER-Admin,2025-09-26T20:18:36Z,CCBER-Admin,Bird flushed ,1,47,264.03947377912436,Raptor_Perches,-120.45779530290712,34.45357162793555,-120.45867243,34.45146017,9298,-120.45867242598126,34.4514601675163
No,2025-03-26T18:15:29Z,NA,{ECE11610-F1D5-4E45-B12A-24942DF5EE68},2025-03-07T00:20:25Z,CCBER-Admin,2025-09-26T20:18:37Z,CCBER-Admin,Pellets could be from 9298 bird nearby (it flushed),NA,-1,-1,NA,-1,-1,-120.45878125,34.45146242,9306,-120.45878124738108,34.45146241778286
Yes,2025-03-26T20:02:08Z,1,{E8BF3A4C-DE3A-4EA1-AEB7-9380FA26FC16},2025-03-07T00:20:25Z,CCBER-Admin,2025-09-26T20:18:42Z,CCBER-Admin,Owl spooked ,1,31,175.78628411974967,Raptor_Perches,-120.46648255249036,34.4533198065332,-120.46483908,34.4526702,12040,-120.46483908352344,34.45267020871301
