Burrow_Presence,Date_and_Time,Burrow_Suitability,Notes,OwlSighting,X,Y,GridID
Yes,2025-03-19T19:58:50Z,1,Owl flushed. Poop pellets ,1,-120.4549627,34.44462172,677
Yes,2025-03-19T16:56:10Z,2,No sign now but where we collected pellets and saw one last trip,NA,-120.4569961,34.44574587,1285
Yes,2025-03-19T18:51:55Z,1,Owl flushed/ pellets collected ,1,-120.4554682,34.44589426,1375
Yes,2025-03-19T18:46:01Z,1,"Several pellets way down in the burrow, droppings outside",NA,-120.4561094,34.44626838,1588
Yes,2025-03-19T18:29:49Z,1,"Owl seen and flushed across road, 2.5 pellets a few droppings ",1,-120.4564304,34.44645544,1697
Yes,2025-03-19T21:25:27Z,1,We collected pellets here earlier first trip ,NA,-120.4578145,34.44747572,2396
Yes,2025-04-02T20:41:33Z,1,Few burrows here extremely thick veldt,NA,-120.4498366,34.44857154,3622
Yes,2025-03-26T18:10:59Z,1,Bird flushed ,1,-120.4586724,34.45146017,9298
No,2025-03-26T18:15:29Z,NA,Pellets could be from 9298 bird nearby (it flushed),NA,-120.4587813,34.45146242,9306
Yes,2025-03-26T20:02:08Z,1,Owl spooked ,1,-120.4648391,34.4526702,12040
Yes,2025-03-26T18:31:53Z,1,NA,NA,-120.4608074,34.45285681,12489
Yes,2025-03-26T18:32:55Z,1,No owl seen but a few droppings  2 pellet,NA,-120.4609073,34.45312931,13152
Yes,2025-03-31T20:50:56Z,3,NA,NA,-120.455733,34.45509523,18134
Yes,2025-04-02T18:53:51Z,1,pellets and droppings,NA,-120.4597058,34.45689072,22654
Yes,2025-03-26T20:55:04Z,1,"Owl spooked, let us get really close ",NA,-120.4666557,34.46100152,31279
Yes,2025-03-26T21:00:30Z,1,"One pellet, lightly used only",NA,-120.4666359,34.4616324,32408
No,2025-03-26T21:07:05Z,NA,Two pellets maybe coyote ,NA,-120.4671665,34.4620942,33211
Yes,2025-03-26T21:10:56Z,1,NA,NA,-120.4670524,34.46227205,33512
Yes,2025-03-31T20:00:06Z,1,NA,NA,-120.4582309,34.46244943,33809
Yes,2025-03-31T17:52:48Z,1,No owl seen ,NA,-120.4622418,34.46298363,34675
Yes,2025-03-31T17:43:50Z,1,2 pellets looks abandoned by now,NA,-120.4619831,34.46433043,36703
Yes,2025-04-02T22:25:00Z,1,dropping and pellet,NA,-120.4666628,34.46433733,36713
No,2025-03-31T21:33:04Z,NA,"Pellets, former burrow filled by gophers ",NA,-120.4722217,34.47130394,42468
